season,venue,batting_team,bowling_team,final_score
2011,Feroz Shah Kotla,Delhi Daredevils,Mumbai Indians,95
2011,Dr DY Patil Sports Academy,Kings XI Punjab,Pune Warriors,112
2011,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,163
2011,Sawai Mansingh Stadium,Delhi Daredevils,Rajasthan Royals,151
2011,M Chinnaswamy Stadium,Royal Challengers Bangalore,Mumbai Indians,140
2011,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,188
2011,Dr DY Patil Sports Academy,Kochi Tuskers Kerala,Pune Warriors,148
2011,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Royal Challengers Bangalore,175
2011,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,159
2011,Wankhede Stadium,Mumbai Indians,Kochi Tuskers Kerala,182
2011,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,183
2011,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab,165
2011,Dr DY Patil Sports Academy,Pune Warriors,Delhi Daredevils,187
2011,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders,81
2011,Nehru Stadium,Chennai Super Kings,Kochi Tuskers Kerala,131
2011,Feroz Shah Kotla,Deccan Chargers,Delhi Daredevils,168
2011,Wankhede Stadium,Pune Warriors,Mumbai Indians,118
2011,Eden Gardens,Kochi Tuskers Kerala,Kolkata Knight Riders,132
2011,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Rajasthan Royals,195
2011,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,164
2011,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,171
2011,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,231
2011,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Deccan Chargers,172
2011,Sawai Mansingh Stadium,Kochi Tuskers Kerala,Rajasthan Royals,109
2011,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Pune Warriors,142
2011,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,160
2011,Dr DY Patil Sports Academy,Pune Warriors,Chennai Super Kings,141
2011,Nehru Stadium,Deccan Chargers,Kochi Tuskers Kerala,129
2011,Feroz Shah Kotla,Kolkata Knight Riders,Delhi Daredevils,148
2011,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,94
2011,M Chinnaswamy Stadium,Royal Challengers Bangalore,Pune Warriors,181
2011,Nehru Stadium,Delhi Daredevils,Kochi Tuskers Kerala,157
2011,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders,119
2011,Sawai Mansingh Stadium,Pune Warriors,Rajasthan Royals,143
2011,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,165
2011,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,159
2011,Feroz Shah Kotla,Delhi Daredevils,Kochi Tuskers Kerala,140
2011,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Deccan Chargers,169
2011,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings,147
2011,Dr DY Patil Sports Academy,Mumbai Indians,Pune Warriors,160
2011,Nehru Stadium,Kochi Tuskers Kerala,Kolkata Knight Riders,156
2011,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,175
2011,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,205
2011,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,114
2011,Wankhede Stadium,Mumbai Indians,Delhi Daredevils,178
2011,M Chinnaswamy Stadium,Kochi Tuskers Kerala,Royal Challengers Bangalore,125
2011,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Pune Warriors,119
2011,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals,196
2011,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Pune Warriors,136
2011,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,163
2011,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,146
2011,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,176
2011,Holkar Cricket Stadium,Kochi Tuskers Kerala,Kings XI Punjab,178
2011,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,89
2011,Wankhede Stadium,Deccan Chargers,Mumbai Indians,135
2011,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils,170
2011,Holkar Cricket Stadium,Rajasthan Royals,Kochi Tuskers Kerala,97
2011,Dr DY Patil Sports Academy,Pune Warriors,Deccan Chargers,136
2011,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Royal Challengers Bangalore,232
2011,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kochi Tuskers Kerala,152
2011,Dr DY Patil Sports Academy,Pune Warriors,Kolkata Knight Riders,118
2011,Wankhede Stadium,Mumbai Indians,Rajasthan Royals,133
2011,Himachal Pradesh Cricket Association Stadium,Deccan Chargers,Kings XI Punjab,198
2011,Feroz Shah Kotla,Delhi Daredevils,Pune Warriors,56
2011,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore,128
2011,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,175
2011,Wankhede Stadium,Royal Challengers Bangalore,Chennai Super Kings,175
2011,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians,147
2011,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Mumbai Indians,185
2011,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,205
